"x","y"
-94.3836898804,35.4487457275
-91.1786346436,34.0208129883
-93.8145370483,35.4723205566
-92.107,34.411
-91.6808929443,34.1625671387
-93.32926,35.3435974
-92.0173985519,34.5028365867
-91.3093338013,34.6857337952
-90.572617,34.522661
-121.34887,36.80844
-73.388305,42.026741
-73.10362,41.3274
-91.1441538454,43.2006238259
-92.893867,40.833294
-93.183804,43.155168
-91.005123324,42.7154428584
-90.31936,41.73021
-91.346440587,42.4070904664
-91.091004,40.825789
-95.07603,43.40954
-90.644943,42.541544
-90.6536,42.4984
-90.411529541,42.247795105
-91.427832,40.38426
-91.771717,42.096567
-91.106267953,41.1940842106
-90.91182803,41.429587669
-96.367478,42.301865
-93.68928,42.78686
-87.63845,41.96153
-91.3687896729,39.8050003052
-89.426597,37.139918
-89.18941,36.99138
-89.50527,37.26948
-90.5408,39.9165
-89.34846,41.26103
-90.5469589233,38.9674911499
-90.60777,39.29902
-90.48524,38.96744
-87.86513,42.00796
-88.25393,42.01238
-87.45283,42.07217
-87.4903,41.9263
-88.18272,41.93985
-90.20166,40.19761
-89.93185,40.43448
-88.04178,37.78407
-88.3121932311,41.3212906945
-88.54642,41.32604
-91.505897522,40.20287323
-88.32514,37.45258
-90.9576644897,40.9409790039
-87.697,41.1549
-89.4655685425,40.9249763489
-88.783264,37.176595
-89.2574310303,42.1213035583
-89.54304,40.82719
-91.060867,39.479136
-89.77388,37.87177
-90.01532,37.98308
-90.566144,41.517858
-89.49892,37.51987
-87.7435,38.4361
-88.0093,38.0274
-88.9795,42.34764
-85.018579,41.1989382
-86.759033,40.704847
-85.587959,38.44848
-85.42249,38.57693
-86.388245,38.123214
-84.889853,39.065912
-85.365529,40.193954
-85.9657289345,41.7509883623
-87.4056,40.1407
-84.9922747362,39.5007911992
-86.1821041951,41.0547410101
-85.926476,39.949227
-85.49119,40.87931
-87.564125,38.674387
-85.7393951416,41.301071167
-85.3302198246,41.5543726143
-87.4328231812,41.3709335327
-86.5473063339,41.715156981
-86.01824,39.87381
-84.831963,38.969019
-86.703552,37.901441
-87.954195,37.820322
-86.592436,41.056508
-87.043908,37.881986
-86.0713348389,41.6760749817
